step,loss,loss_parts,embed_acc,perm_valid,edge_f1,erank_last,lr,tok_per_s
37200,0.24604,"{""ntp"": 0.10946961492300034, ""mtp"": 0.1365751028060913}",0.86719,0.94531,0.98175,4.84,1.00e-03,171592
37600,0.25191,"{""ntp"": 0.11202225834131241, ""mtp"": 0.13988469541072845}",0.81641,0.90234,0.97793,4.54,1.00e-03,171873
38000,0.25599,"{""ntp"": 0.11437713354825974, ""mtp"": 0.14161746203899384}",0.84766,0.92578,0.98162,4.38,1.00e-03,172157
38400,0.25268,"{""ntp"": 0.1144697368144989, ""mtp"": 0.1382138878107071}",0.86719,0.93750,0.98406,4.93,1.00e-03,172447
38800,0.25309,"{""ntp"": 0.11289779841899872, ""mtp"": 0.14019447565078735}",0.83203,0.92969,0.98157,4.88,1.00e-03,172735
39200,0.25395,"{""ntp"": 0.11365249752998352, ""mtp"": 0.14029894769191742}",0.87109,0.95312,0.98797,4.90,1.00e-03,173033
39600,0.25061,"{""ntp"": 0.11134390532970428, ""mtp"": 0.13926231861114502}",0.82422,0.89844,0.97798,4.17,1.00e-03,173111
40000,0.25522,"{""ntp"": 0.114982470870018, ""mtp"": 0.1402408927679062}",0.86328,0.93359,0.98458,4.58,1.00e-03,173024
40400,0.25013,"{""ntp"": 0.11227941513061523, ""mtp"": 0.1378524899482727}",0.87500,0.93750,0.98594,4.80,1.00e-03,172974
40800,0.25097,"{""ntp"": 0.11201981455087662, ""mtp"": 0.138954296708107}",0.85156,0.93359,0.98323,4.35,1.00e-03,172904
41200,0.25605,"{""ntp"": 0.11639387160539627, ""mtp"": 0.1396588534116745}",0.87109,0.92188,0.98197,5.16,1.00e-03,172826
41600,0.24657,"{""ntp"": 0.11027591675519943, ""mtp"": 0.13628938794136047}",0.88281,0.94531,0.98765,4.46,1.00e-03,172769
42000,0.25679,"{""ntp"": 0.11471574753522873, ""mtp"": 0.14207755029201508}",0.88672,0.95703,0.98807,4.59,1.00e-03,172723
42400,0.25118,"{""ntp"": 0.11245226114988327, ""mtp"": 0.13872981071472168}",0.85156,0.91406,0.97925,4.39,1.00e-03,172657
