step,loss,loss_parts,embed_acc,perm_valid,edge_f1,erank_last,lr,tok_per_s
36400,0.17070,"{""ntp"": 0.17069993913173676}",0.09375,0.22656,0.82885,5.21,1.00e-03,210922
36800,0.16952,"{""ntp"": 0.169519305229187}",0.12109,0.30078,0.82198,5.32,1.00e-03,211054
37200,0.17040,"{""ntp"": 0.17040184140205383}",0.06641,0.16016,0.80228,5.06,1.00e-03,210986
37600,0.17264,"{""ntp"": 0.1726415455341339}",0.09766,0.24219,0.81541,5.21,1.00e-03,210932
38000,0.16690,"{""ntp"": 0.16689935326576233}",0.12109,0.29688,0.84436,5.30,1.00e-03,210901
38400,0.16919,"{""ntp"": 0.1691891998052597}",0.10156,0.26172,0.81654,5.16,1.00e-03,210839
38800,0.16727,"{""ntp"": 0.16726791858673096}",0.07422,0.25781,0.82953,5.03,1.00e-03,210785
39200,0.16792,"{""ntp"": 0.1679205298423767}",0.12500,0.24609,0.81653,5.23,1.00e-03,210723
39600,0.16820,"{""ntp"": 0.1681959480047226}",0.07031,0.16797,0.80988,5.30,1.00e-03,210686
40000,0.16964,"{""ntp"": 0.16963857412338257}",0.10547,0.22656,0.81823,5.27,1.00e-03,210674
40400,0.16676,"{""ntp"": 0.1667635142803192}",0.10547,0.25781,0.81995,5.33,1.00e-03,210631
40800,0.17019,"{""ntp"": 0.17019134759902954}",0.08594,0.27734,0.82960,5.32,1.00e-03,210587
41200,0.17420,"{""ntp"": 0.1741969734430313}",0.14062,0.28516,0.84879,5.28,1.00e-03,210529
41600,0.16816,"{""ntp"": 0.1681622713804245}",0.09766,0.28125,0.83745,5.12,1.00e-03,210559
42000,0.17340,"{""ntp"": 0.1734033226966858}",0.05469,0.15234,0.80067,5.15,1.00e-03,210663
42400,0.17011,"{""ntp"": 0.17011362314224243}",0.07812,0.22266,0.80424,5.28,1.00e-03,210655
42800,0.17179,"{""ntp"": 0.17178718745708466}",0.08984,0.20312,0.80982,5.42,1.00e-03,210835
43200,0.16958,"{""ntp"": 0.16957539319992065}",0.14062,0.33984,0.84408,5.25,1.00e-03,210856
43600,0.16088,"{""ntp"": 0.16087524592876434}",0.12891,0.27734,0.83225,5.45,1.00e-03,210855
44000,0.16354,"{""ntp"": 0.16353505849838257}",0.08594,0.18359,0.81925,5.33,1.00e-03,210849
44400,0.16137,"{""ntp"": 0.16136528551578522}",0.07812,0.21484,0.81498,5.31,1.00e-03,210844
44800,0.16364,"{""ntp"": 0.1636388748884201}",0.08594,0.25391,0.81144,5.15,1.00e-03,210853
45200,0.16652,"{""ntp"": 0.16651615500450134}",0.16016,0.28906,0.84807,5.10,1.00e-03,210849
45600,0.16536,"{""ntp"": 0.16536152362823486}",0.08594,0.23828,0.80972,5.31,1.00e-03,210848
46000,0.17289,"{""ntp"": 0.17289210855960846}",0.13281,0.34375,0.85683,5.15,1.00e-03,210838
46400,0.16357,"{""ntp"": 0.1635708212852478}",0.09375,0.26562,0.83876,5.23,1.00e-03,210821
46800,0.16711,"{""ntp"": 0.16711461544036865}",0.08594,0.26172,0.82281,5.32,1.00e-03,210810
47200,0.16738,"{""ntp"": 0.16737571358680725}",0.10547,0.24219,0.83139,5.06,1.00e-03,210805
47600,0.16422,"{""ntp"": 0.16421851515769958}",0.07031,0.25391,0.81510,5.12,1.00e-03,211050
48000,0.16770,"{""ntp"": 0.16769926249980927}",0.10156,0.31641,0.83730,5.26,1.00e-03,211289
